Index,Orchestra,Conductor,
1,The King's Consort,Robert King,1
2,Hamburg Symphony Orchestra,Gabor Otücs,2
3,Failoni Chamber Orchestra,Mátyás Antál,3
4,Failoni Radio Orch./Hungarian Radio Choir,Géza Oberfrank,4
5,St. James's Baroque Players,Ivor Bolton,5
6,Camerata Cassovia,Robert Stankovsky,6
