Performer Index,Performer
1,Catherine MacKintosh
2,Various
3,Tatiana Nikolaeva
4,Wolfgang Rübsam
5,Pieter Jan Belder
6,Glenn Gould
7,Ivor Bolton
8,János Sebestyén
9,Hae-won Chang
10,Pierre Fournier
11,Christiane Edinger
12,Christiane Jaccottet
